subject,body,category,priority,channel
Possible SQL injection vulnerability found,I've been a loyal customer and this is unacceptable. I discovered what appears to be a SQL injection vulnerability in your search parameter. Please fix it urgently.,Security Concern,Urgent,Phone
Mobile app is laggy and unresponsive,I'd appreciate a quick response. The delay in loading data has tripled compared to last week. Please look into server-side performance. Thank you for your time.,Performance Issue,High,Phone
Dashboard takes minutes to load,Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish. Looking forward to a resolution.,Performance Issue,Medium,Email
Login error on mobile app,I hope you can assist me quickly. Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything.,Login Issue,Urgent,Chat
Sync is failing with error code,My dashboard data is completely blank even though I can see records in the backend. Something is broken. Thanks.,Bug Report,High,Web Form
Account locked after too many attempts,"Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens.",Login Issue,High,Social Media
Button not responding on dashboard,"Thanks in advance for your help. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed. I appreciate your help.",Bug Report,High,Email
Error when saving changes,I'm very disappointed with the service. Your Chrome extension crashes my browser every time I try to use the text capture feature. Thanks.,Bug Report,Medium,Web Form
Possible SQL injection vulnerability found,I'd appreciate a quick response. Your login logs show access from a foreign country at 3am. That was not me. Please freeze my account. Looking forward to a resolution.,Security Concern,High,Social Media
Transaction failed – money missing from account,Please treat this as a high priority. I was charged in USD but my plan is supposed to be billed in EUR. This is incorrect.,Payment Problem,Medium,Chat
Request for reimbursement on cancelled order,I was overcharged by $19 compared to my plan price. Please refund the difference.,Refund Request,Medium,Web Form
Search is very slow,I'm not sure who to contact so I'm trying here. We're losing productivity because of these slow load times. Our entire workflow runs through your platform. Please respond ASAP.,Performance Issue,High,Web Form
Request: custom branding for client portals,We need role-based access control so we can limit what different team members can see and edit. I appreciate your help.,Feature Request,Medium,Email
I need a refund ASAP,I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Regards.,Refund Request,High,Social Media
Would love a drag-and-drop interface,I'd appreciate a quick response. Two-way sync with Google Sheets would save our ops team hours every week. Please consider adding it.,Feature Request,Medium,Web Form
I never wanted to renew – please cancel,The pricing has gone up significantly and it's no longer within our budget. Please cancel. Looking forward to a resolution.,Subscription Cancellation,High,Chat
Invoice shows incorrect amount,Honestly this is really frustrating. I updated my card details last week but you're still charging the old card which is now expired.,Payment Problem,High,Email
Cancelling our enterprise contract,I'd like to cancel my subscription effective immediately. Please confirm this has been done.,Subscription Cancellation,High,Phone
Invoice shows incorrect amount,This is the third time I'm reaching out about this. I updated my card details last week but you're still charging the old card which is now expired. Looking forward to a resolution.,Payment Problem,High,Social Media
Would love a drag-and-drop interface,Our integration needs higher API rate limits. Is there a plan option that allows more requests per minute? I expect to hear back within 24 hours.,Feature Request,Medium,Email
Would love a native desktop app,I'd appreciate a quick response. We need role-based access control so we can limit what different team members can see and edit.,Feature Request,Low,Chat
App is extremely slow today,I hope you can assist me quickly. Your platform seems overloaded during peak hours (9am–11am). We can barely use it. Regards.,Performance Issue,High,Email
